system,code,language,concept_kind,source_display,preferred_display,synonyms,status,source_name,source_version,is_active
http://snomed.info/sct,254900004,nl-SR,condition,Carcinoma of prostate,Prostaatcarcinoom,prostaatkanker,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,399326009,nl-SR,condition,Malignant neoplasm of urinary bladder,Blaascarcinoom,blaaskanker,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,92546004,nl-SR,condition,Carcinoma in situ of urinary bladder,Carcinoma in situ van de blaas,CIS van de blaas|CIS blaas,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,702391001,nl-SR,condition,Renal cell carcinoma,Niercelcarcinoom,RCC|niercelkanker,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,1208451008,nl-SR,condition,Transitional cell carcinoma of upper urinary tract,Urotheelcelcarcinoom van de hoge urinewegen,UTUC|hoog-urinewegcarcinoom,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,363449006,nl-SR,condition,Malignant tumour of testis,Testiscarcinoom,testiskanker|teelbalkanker,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,363516004,nl-SR,condition,Malignant tumour of penis,Peniscarcinoom,peniskanker,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,30041000119101,nl-SR,condition,Lower urinary tract symptoms due to benign prostatic hypertrophy,Benigne prostaathyperplasie met LUTS,BPH met LUTS|prostaathyperplasie met lagere urinewegsymptomen,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,254902007,nl-SR,condition,Benign prostatic hyperplasia without outflow obstruction,Benigne prostaathyperplasie zonder uitstroomobstructie,BPH zonder obstructie,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,79411002,nl-SR,condition,Acute prostatitis,Acute prostatitis,acute prostaatontsteking,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,19905009,nl-SR,condition,Chronic prostatitis,Chronische prostatitis,chronische prostaatontsteking,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
http://snomed.info/sct,95570007,nl-SR,condition,Kidney stone,Niersteen,nierstenen|nefrolithiasis,draft,CARE Suriname user-reviewed urology terminology,SNOMED CT INT 20241101 / reviewed 2026-07-20,true
